0	2396	2401	492	1227	860	3960	3872	14760	14766	6875	6974	5219	11844
2396	0	5	2167	1753	2385	1602	1514	16825	16831	7914	8013	7285	13909
2401	5	0	2162	1748	2390	1597	1509	16830	16836	7909	8008	7289	13914
492	2167	2162	0	760	702	2726	2637	15300	15306	6582	6682	5759	12384
1227	1753	1748	760	0	652	2269	2180	15092	15097	7350	7449	5551	12176
860	2385	2390	702	652	0	3133	3044	14440	14445	7918	8018	4899	11524
3960	1602	1597	2726	2269	3133	0	229	17371	17377	3712	4071	7830	14455
3872	1514	1509	2637	2180	3044	229	0	17283	17288	3483	3842	7742	14367
14760	16825	16830	15300	15092	14440	17371	17283	0	4	21402	21501	10599	3886
14766	16831	16836	15306	15097	14445	17377	17288	4	0	21407	21507	10605	3891
6875	7914	7909	6582	7350	7918	3712	3483	21402	21407	0	359	9204	15829
6974	8013	8008	6682	7449	8018	4071	3842	21501	21507	359	0	8912	15537
5219	7285	7289	5759	5551	4899	7830	7742	10599	10605	9204	8912	0	8642
11844	13909	13914	12384	12176	11524	14455	14367	3886	3891	15829	15537	8642	0
